,station_name,postal_code,sublocality,neighborhood,state
0,W 26 St & 10 Ave,,Manhattan,,NY
1,E 39 St & 2 Ave,,Manhattan,,NY
2,8 Ave & W 52 St,,Manhattan,,NY
3,Sullivan St & Washington Sq,,Manhattan,,NY
4,Bedford Ave & Nassau Ave,,Brooklyn,,NY
5,Forsyth St & Broome St,10002,Manhattan,,NY
6,South End Ave & Liberty St,,Manhattan,,NY
7,St Marks Pl & 1 Ave,,Manhattan,,NY
8,Barrow St & Hudson St,,,,NY
9,Berry St & N 8 St,11249,Brooklyn,Williamsburg,NY
10,E 2 St & Avenue C,,Manhattan,,NY
11,2 Ave & E 31 St,,Manhattan,,NY
12,E 4 St & 2 Ave,,Manhattan,,NY
13,E 12 St & 3 Ave,,Manhattan,,NY
14,Peck Slip & Front St,,Manhattan,,NY
15,Graham Ave & Grand St,,Brooklyn,,NY
16,Broadway & Whipple St,,Brooklyn,,NY
17,5 Ave & E 29 St,,Manhattan,,NY
18,W 63 St & Broadway,,,,NY
19,Division Ave & Marcy Ave,,Brooklyn,Williamsburg,NY
20,Lexington Ave & E 24 St,,Manhattan,,NY
21,Broadway & E 14 St,,,,NY
22,W 38 St & 8 Ave,,Manhattan,,NY
23,1 Ave & E 68 St,,Manhattan,,NY
24,E 14 St & Avenue B,,Manhattan,,NY
25,E 11 St & 1 Ave,,Manhattan,,NY
26,W 22 St & 8 Ave,,Manhattan,,NY
27,St Marks Pl & 2 Ave,,Manhattan,,NY
28,Reade St & Broadway,,,,NY
29,Clermont Ave & Lafayette Ave,,Brooklyn,,NY
30,Washington Pl & Broadway,,,,NY
31,W 42 St & 8 Ave,,Manhattan,,NY
32,Kent Ave & S 11 St,,Brooklyn,,NY
33,E 11 St & 2 Ave,,Manhattan,,NY
34,W 41 St & 8 Ave,,Manhattan,,NY
35,N 8 St & Driggs Ave,,Brooklyn,,NY
36,Graham Ave & Withers St,,Brooklyn,Williamsburg,NY
37,Bank St & Washington St,,Manhattan,,NY
38,Mercer St & Bleecker St,,Manhattan,,NY
39,W 70 St & Amsterdam Ave,,Manhattan,,NY
40,9 Ave & W 16 St,,Manhattan,,NY
41,Vesey Pl & River Terrace,,Manhattan,,NY
42,Harrison St & Hudson St,,,,NY
43,Central Park West & W 72 St,,Manhattan,,NY
44,Rivington St & Chrystie St,10002,Manhattan,,NY
45,Montrose Ave & Bushwick Ave,,Brooklyn,,NY
46,Cadman Plaza E & Red Cross Pl,11201,Brooklyn,Downtown Brooklyn,NY
47,Cadman Plaza West & Montague St,11201,Brooklyn,,NY
48,W 20 St & 8 Ave,,Manhattan,,NY
49,1 Ave & E 18 St,,Manhattan,,NY
50,11 Ave & W 41 St,,Manhattan,,NY
51,Allen St & Rivington St,10002,Manhattan,,NY
52,Market St & Cherry St,10002,Manhattan,,NY
53,E 10 St & 5 Ave,,Manhattan,,NY
54,Graham Ave & Conselyea St,,Brooklyn,Williamsburg,NY
