,station_name,postal_code,sublocality,neighborhood,state
0,W 26 St & 10 Ave,10001,Manhattan,Midtown,NY
1,E 39 St & 2 Ave,10016,Manhattan,Midtown,NY
2,8 Ave & W 52 St,10019,Manhattan,Midtown,NY
3,Sullivan St & Washington Sq,10012,Manhattan,Lower Manhattan,NY
4,Bedford Ave & Nassau Ave,11222,Brooklyn,Greenpoint,NY
5,Forsyth St & Broome St,10002,Manhattan,Lower Manhattan,NY
6,South End Ave & Liberty St,10281,Manhattan,Lower Manhattan,NY
7,St Marks Pl & 1 Ave,10009,Manhattan,Lower Manhattan,NY
8,Barrow St & Hudson St,10014,Manhattan,Lower Manhattan,NY
9,Berry St & N 8 St,11249,Brooklyn,Williamsburg,NY
10,E 2 St & Avenue C,10009,Manhattan,Lower Manhattan,NY
11,2 Ave & E 31 St,10016,Manhattan,Midtown,NY
12,E 4 St & 2 Ave,10003,Manhattan,East Village,NY
13,E 12 St & 3 Ave,10003,Manhattan,Lower Manhattan,NY
14,Peck Slip & Front St,10038,Manhattan,Lower Manhattan,NY
15,Graham Ave & Grand St,11211,Brooklyn,Williamsburg,NY
16,Broadway & Whipple St,11206,Brooklyn,Williamsburg,NY
17,5 Ave & E 29 St,10016,Manhattan,Midtown,NY
18,W 63 St & Broadway,10023,Manhattan,Upper West Side,NY
19,Division Ave & Marcy Ave,,Brooklyn,Williamsburg,NY
20,Lexington Ave & E 24 St,10010,Manhattan,Midtown,NY
21,Broadway & E 14 St,10003,Manhattan,Midtown,NY
22,W 38 St & 8 Ave,10018,Manhattan,Midtown,NY
23,1 Ave & E 68 St,10065,Manhattan,Upper East Side,NY
24,E 14 St & Avenue B,10009,Manhattan,Lower Manhattan,NY
25,E 11 St & 1 Ave,10009,Manhattan,Lower Manhattan,NY
26,W 22 St & 8 Ave,10011,Manhattan,Midtown,NY
27,St Marks Pl & 2 Ave,10003,Manhattan,Lower Manhattan,NY
28,Reade St & Broadway,10007,Manhattan,Lower Manhattan,NY
29,Clermont Ave & Lafayette Ave,11238,Brooklyn,Clinton Hill,NY
30,Washington Pl & Broadway,10003,Manhattan,Lower Manhattan,NY
31,W 42 St & 8 Ave,10018,Manhattan,Midtown,NY
32,Kent Ave & S 11 St,11249,Brooklyn,Williamsburg,NY
33,E 11 St & 2 Ave,10003,Manhattan,Lower Manhattan,NY
34,W 41 St & 8 Ave,10018,Manhattan,Midtown,NY
35,N 8 St & Driggs Ave,11211,Brooklyn,Williamsburg,NY
36,Graham Ave & Withers St,,Brooklyn,Williamsburg,NY
37,Bank St & Washington St,10014,Manhattan,Lower Manhattan,NY
38,Mercer St & Bleecker St,10012,Manhattan,Lower Manhattan,NY
39,W 70 St & Amsterdam Ave,10023,Manhattan,Upper West Side,NY
40,9 Ave & W 16 St,10011,Manhattan,Midtown,NY
41,Vesey Pl & River Terrace,10282,Manhattan,Lower Manhattan,NY
42,Harrison St & Hudson St,10013,Manhattan,Lower Manhattan,NY
43,Central Park West & W 72 St,10023,Manhattan,Upper West Side,NY
44,Rivington St & Chrystie St,10002,Manhattan,Lower Manhattan,NY
45,Montrose Ave & Bushwick Ave,11206,Brooklyn,Williamsburg,NY
46,Cadman Plaza E & Red Cross Pl,11201,Brooklyn,Downtown Brooklyn,NY
47,Cadman Plaza West & Montague St,11201,Brooklyn,Downtown Brooklyn,NY
48,W 20 St & 8 Ave,10011,Manhattan,Midtown,NY
49,1 Ave & E 18 St,10003,Manhattan,Midtown,NY
50,11 Ave & W 41 St,10036,Manhattan,Midtown,NY
51,Allen St & Rivington St,10002,Manhattan,Lower Manhattan,NY
52,Market St & Cherry St,10002,Manhattan,Lower Manhattan,NY
53,E 10 St & 5 Ave,10011,Manhattan,Lower Manhattan,NY
54,Graham Ave & Conselyea St,,Brooklyn,Williamsburg,NY
55,University Pl & E 14 St,10003,Manhattan,Midtown,NY
56,Lafayette St & E 8 St,10003,Manhattan,Lower Manhattan,NY
57,Broadway & W 24 St,10010,Manhattan,Midtown,NY
58,Avenue D & E 3 St,10009,Manhattan,Alphabet City,NY
59,Carmine St & 6 Ave,10012,Manhattan,Lower Manhattan,NY
60,W 4 St & 7 Ave S,10014,Manhattan,Lower Manhattan,NY
61,Gallatin Pl & Livingston St,11201,Brooklyn,Downtown Brooklyn,NY
62,Greenwich Ave & Charles St,10014,Manhattan,Lower Manhattan,NY
63,Cleveland Pl & Spring St,10012,Manhattan,Lower Manhattan,NY
64,W 52 St & 9 Ave,10019,Manhattan,Midtown,NY
65,Metropolitan Ave & Meeker Ave,11211,Brooklyn,Williamsburg,NY
66,Nassau St & Navy St,11201,Brooklyn,Fort Greene,NY
67,E 33 St & 2 Ave,10016,Manhattan,Midtown,NY
68,W 17 St & 8 Ave,10011,Manhattan,Midtown,NY
69,E 19 St & 3 Ave,10003,Manhattan,Midtown,NY
70,Lafayette Ave & Fort Greene Pl,11217,Brooklyn,Fort Greene,NY
71,Metropolitan Ave & Bedford Ave,11211,Brooklyn,Williamsburg,NY
72,E 7 St & Avenue A,10009,Manhattan,Lower Manhattan,NY
73,W 45 St & 8 Ave,10036,Manhattan,Midtown,NY
74,Allen St & E Houston St,10002,Manhattan,Lower Manhattan,NY
75,6 Ave & Broome St,10013,Manhattan,Lower Manhattan,NY
76,Lexington Ave & E 29 St,10016,Manhattan,Midtown,NY
77,W 39 St & 9 Ave,10018,Manhattan,Midtown,NY
78,9 Ave & W 45 St,10036,Manhattan,Midtown,NY
79,Broadway & E 22 St,10010,Manhattan,Midtown,NY
80,Great Jones St,10012,Manhattan,Lower Manhattan,NY
81,Atlantic Ave & Fort Greene Pl,11217,Brooklyn,Fort Greene,NY
82,E 15 St & 3 Ave,10003,Manhattan,Midtown,NY
83,E 37 St & Lexington Ave,10016,Manhattan,Midtown,NY
84,E 47 St & 2 Ave,10017,Manhattan,Midtown,NY
85,Centre St & Chambers St,10013,Manhattan,Lower Manhattan,NY
86,9 Ave & W 22 St,10011,Manhattan,Midtown,NY
87,S 5 Pl & S 4 St,,Brooklyn,Williamsburg,NY
88,W 53 St & 10 Ave,10019,Manhattan,Hell's Kitchen,NY
89,W 33 St & 7 Ave,10001,Manhattan,Midtown,NY
90,LaGuardia Pl & W 3 St,10012,Manhattan,Lower Manhattan,NY
91,E 17 St & Broadway,10003,Manhattan,Midtown,NY
92,St James Pl & Oliver St,10038,Manhattan,Lower Manhattan,NY
93,Amsterdam Ave & W 73 St,10023,Manhattan,Upper West Side,NY
94,W 56 St & 6 Ave,10019,Manhattan,Midtown West,NY
95,E 27 St & 1 Ave,10016,Manhattan,Midtown,NY
96,Pike St & Monroe St,10002,Manhattan,Lower Manhattan,NY
97,Columbia St & Rivington St,10002,Manhattan,Lower Manhattan,NY
98,W 49 St & 8 Ave,10019,Manhattan,Midtown,NY
99,E 84 St & 1 Ave,10028,Manhattan,Yorkville,NY
100,Leonard St & Church St,10013,Manhattan,Lower Manhattan,NY
101,E 75 St & 3 Ave,10021,Manhattan,Upper East Side,NY
102,E 53 St & Lexington Ave,10022,Manhattan,Midtown,NY
