,station_name,start station latitude,start station longitude,latlng,neighborhood,postal_code,state,sublocality
0,Bank St & Hudson St,40.73652889,-74.00618026,"40.73652889,-74.00618026",West Village,10014,NY,Manhattan
1,E 59 St & Sutton Pl,40.75849116,-73.95920622,"40.75849116,-73.95920622",Sutton Place,10022,NY,Manhattan
2,E 37 St & Lexington Ave,40.748238,-73.978311,"40.748238,-73.978311",Murray Hill,10016,NY,Manhattan
3,9 Ave & W 14 St,40.7405826,-74.00550867,"40.7405826,-74.00550867",Meatpacking District,10014,NY,Manhattan
4,Broadway & W 53 St,40.76344058,-73.98268129,"40.76344058,-73.98268129",Midtown West,10019,NY,Manhattan
5,E 11 St & 1 Ave,40.72953837,-73.98426726,"40.72953837,-73.98426726",Ukrainian Village,10003,NY,Manhattan
6,Broadway & W 60 St,40.76915505,-73.98191841,"40.76915505,-73.98191841",Lincoln Square,10023,NY,Manhattan
7,Clark St & Henry St,40.69760127,-73.99344559,"40.69760127,-73.99344559",Brooklyn Heights,11201,NY,Brooklyn
8,E 7 St & Avenue A,40.72621788,-73.98379855,"40.72621788,-73.98379855",Ukrainian Village,10009,NY,Manhattan
9,Washington Park,40.69178232,-73.97372989,"40.69178232,-73.97372989",Fort Greene,11201,NY,Brooklyn
10,Fulton St & William St,40.70955958,-74.00653609,"40.70955958,-74.00653609",Financial District,10038,NY,Manhattan
11,E 25 St & 1 Ave,40.7381765,-73.97738662,"40.7381765,-73.97738662",Kips Bay,10016,NY,Manhattan
12,W 17 St & 8 Ave,40.74177603,-74.00149746,"40.74177603,-74.00149746",Chelsea,10011,NY,Manhattan
13,Gallatin Pl & Livingston St,40.69028437,-73.98707105,"40.69028437,-73.98707105",Downtown Brooklyn,11201,NY,Brooklyn
14,E 3 St & 1 Ave,40.72467721,-73.98783413,"40.72467721,-73.98783413",Ukrainian Village,10003,NY,Manhattan
15,FDR Drive & E 35 St,40.744219,-73.97121214,"40.744219,-73.97121214",Midtown,10016,NY,Manhattan
16,E 48 St & 3 Ave,40.7546011026,-73.971878855,"40.7546011026,-73.971878855",Midtown East,10017,NY,Manhattan
17,W 37 St & 10 Ave,40.75660359,-73.9979009,"40.75660359,-73.9979009",Hell's Kitchen,10018,NY,Manhattan
18,Lexington Ave & E 24 St,40.74025878,-73.98409214,"40.74025878,-73.98409214",Kips Bay,10010,NY,Manhattan
19,Broadway & W 36 St,40.75097711,-73.98765428,"40.75097711,-73.98765428",Garment District,10018,NY,Manhattan
20,W 56 St & 6 Ave,40.76340613,-73.97722479,"40.76340613,-73.97722479",Midtown West,10019,NY,Manhattan
21,Washington Pl & Broadway,40.72903917,-73.99404649,"40.72903917,-73.99404649",Greenwich Village,10003,NY,Manhattan
22,6 Ave & Broome St,40.724399,-74.004704,"40.724399,-74.004704",Hudson Square,10013,NY,Manhattan
23,Allen St & Hester St,40.71605866,-73.99190759,"40.71605866,-73.99190759",Chinatown,10002,NY,Manhattan
24,W 43 St & 10 Ave,40.76009437,-73.99461843,"40.76009437,-73.99461843",Hell's Kitchen,10036,NY,Manhattan
25,Lexington Ave & Classon Ave,40.68676793,-73.95928168,"40.68676793,-73.95928168",Bedford-Stuyvesant,11238,NY,Brooklyn
26,Fulton St & Clermont Ave,40.68415748,-73.96922273,"40.68415748,-73.96922273",Fort Greene,11238,NY,Brooklyn
27,E 2 St & Avenue B,40.72217444,-73.98368779,"40.72217444,-73.98368779",Alphabet City,10009,NY,Manhattan
28,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,"40.69308257,-73.97178913",Fort Greene,11205,NY,Brooklyn
29,MacDougal St & Prince St,40.72710258,-74.00297088,"40.72710258,-74.00297088",SoHo,10014,NY,Manhattan
30,Fulton St & Waverly Ave,40.68317813,-73.9659641,"40.68317813,-73.9659641",Clinton Hill,11238,NY,Brooklyn
31,Clinton St & Joralemon St,40.69239502,-73.99337909,"40.69239502,-73.99337909",Brooklyn Heights,11201,NY,Brooklyn
32,Washington Ave & Greene Ave,40.68650065,-73.96563307,"40.68650065,-73.96563307",Clinton Hill,11238,NY,Brooklyn
33,Central Park S & 6 Ave,40.76590936,-73.97634151,"40.76590936,-73.97634151",Central Park,10019,NY,Manhattan
34,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,"40.694528,-73.958089",Bedford-Stuyvesant,11205,NY,Brooklyn
35,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,"40.68382604,-73.97632328",Fort Greene,11217,NY,Brooklyn
36,W 39 St & 9 Ave,40.75645824,-73.99372222,"40.75645824,-73.99372222",Garment District,10018,NY,Manhattan
37,S 3 St & Bedford Ave,40.71260486,-73.96264403,"40.71260486,-73.96264403",Williamsburg,11249,NY,Brooklyn
38,Maiden Ln & Pearl St,40.70706456,-74.00731853,"40.70706456,-74.00731853",Financial District,10038,NY,Manhattan
39,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,"40.69363137,-73.96223558",Clinton Hill,11205,NY,Brooklyn
40,South St & Whitehall St,40.70122128,-74.01234218,"40.70122128,-74.01234218",Financial District,10004,NY,Manhattan
41,Johnson St & Gold St,40.69474881,-73.98362464,"40.69474881,-73.98362464",Downtown Brooklyn,11201,NY,Brooklyn
42,Concord St & Bridge St,40.69766564,-73.98476437,"40.69766564,-73.98476437",Downtown Brooklyn,11201,NY,Brooklyn
43,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,"40.68900443,-73.96023854",Clinton Hill,11205,NY,Brooklyn
44,DeKalb Ave & Hudson Ave,40.689888,-73.981013,"40.689888,-73.981013",Fort Greene,11201,NY,Brooklyn
45,Hudson St & Reade St,40.71625008,-74.0091059,"40.71625008,-74.0091059",Tribeca,10013,NY,Manhattan
46,W 54 St & 9 Ave,40.76584941,-73.98690506,"40.76584941,-73.98690506",Hell's Kitchen,10019,NY,Manhattan
47,MacDougal St & Washington Sq,40.73226398,-73.99852205,"40.73226398,-73.99852205",Greenwich Village,10011,NY,Manhattan
48,Greenwich St & Warren St,40.71542197,-74.01121978,"40.71542197,-74.01121978",Tribeca,10007,NY,Manhattan
49,Liberty St & Broadway,40.70905623,-74.01043382,"40.70905623,-74.01043382",Financial District,10005,NY,Manhattan
50,Broadway & W 41 St,40.75513557,-73.98658032,"40.75513557,-73.98658032",Theater District,10036,NY,Manhattan
51,Broadway & W 29 St,40.7462009,-73.98855723,"40.7462009,-73.98855723",NoMad,10001,NY,Manhattan
52,E 16 St & 5 Ave,40.73726186,-73.99238967,"40.73726186,-73.99238967",Union Square,10003,NY,Manhattan
53,Hicks St & Montague St,40.69512845,-73.99595065,"40.69512845,-73.99595065",Brooklyn Heights,11201,NY,Brooklyn
54,Mott St & Prince St,40.72317958,-73.99480012,"40.72317958,-73.99480012",Nolita,10012,NY,Manhattan
55,Water - Whitehall Plaza,40.70255065,-74.0127234,"40.70255065,-74.0127234",Financial District,10004,NY,Manhattan
